Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Income
Bachelors,2017,Bangalore,3,28,Female,No,2,0,500701
Bachelors,2012,Pune,3,28,Male,No,2,0,495570
Masters,2012,New Delhi,3,24,Female,No,2,1,421610
Bachelors,2013,Bangalore,3,26,Male,No,4,0,542253
Bachelors,2015,New Delhi,3,26,Female,Yes,4,0,626729
Bachelors,2017,Bangalore,3,28,Male,No,1,0,495232
Bachelors,2018,Pune,3,25,Male,Yes,3,1,400576
Masters,2017,New Delhi,3,24,Male,No,2,0,449413
Bachelors,2013,Bangalore,3,28,Male,No,2,1,619700
Bachelors,2017,Bangalore,3,24,Male,No,2,0,471297
Masters,2017,New Delhi,2,25,Female,No,3,1,1041869
Bachelors,2013,Pune,2,28,Female,No,1,1,887592
Bachelors,2015,Bangalore,3,24,Female,No,2,0,546822
Bachelors,2016,Pune,3,26,Male,No,4,0,411727
Bachelors,2015,New Delhi,2,27,Female,No,5,1,1070280
Bachelors,2018,Bangalore,3,24,Female,No,2,1,568038
Bachelors,2013,Bangalore,3,27,Female,No,5,0,637263
Bachelors,2013,Bangalore,3,24,Male,Yes,2,0,586198
Bachelors,2013,Bangalore,3,24,Female,No,2,0,456568
Bachelors,2013,Bangalore,3,27,Male,No,5,0,619285
Bachelors,2017,Bangalore,3,26,Female,No,4,0,520377
Bachelors,2015,Bangalore,3,24,Female,No,2,0,431216
Bachelors,2012,Pune,3,24,Female,No,2,1,471087
Bachelors,2016,Bangalore,3,24,Male,Yes,2,1,635627
Bachelors,2012,Bangalore,3,28,Male,No,3,0,663259
Bachelors,2017,New Delhi,2,27,Male,No,5,0,931804
Bachelors,2012,Pune,2,27,Female,No,5,1,876975
Masters,2017,Pune,2,27,Male,No,5,0,822836
Bachelors,2017,Pune,2,24,Male,No,2,1,932991
Bachelors,2016,Pune,1,26,Female,No,4,1,1334221
Bachelors,2015,Pune,3,26,Female,No,4,1,667019
Bachelors,2016,Bangalore,3,25,Male,No,3,1,642870
Bachelors,2012,Pune,3,26,Male,No,4,0,505780
Bachelors,2017,Bangalore,3,28,Male,No,2,0,480192
Bachelors,2012,Bangalore,3,25,Male,No,3,0,596351
Bachelors,2017,Bangalore,3,25,Female,Yes,3,0,553127
Masters,2017,Pune,2,26,Male,No,4,0,980787
Masters,2017,Pune,3,28,Male,No,1,1,635928
Masters,2015,Pune,2,25,Female,No,3,1,999570
Bachelors,2017,New Delhi,2,26,Female,No,4,0,942582
Bachelors,2017,New Delhi,2,26,Male,No,4,0,1037438
Bachelors,2016,Bangalore,3,27,Male,No,5,0,521714
Bachelors,2017,New Delhi,3,27,Female,No,5,0,695234
Bachelors,2015,New Delhi,3,24,Female,No,2,0,687462
Masters,2017,Bangalore,1,26,Female,No,4,1,1447565
Bachelors,2017,New Delhi,1,28,Female,No,2,0,1289974
Bachelors,2015,Bangalore,3,24,Male,No,2,0,483779
Masters,2015,Pune,2,25,Female,No,3,1,898425
Bachelors,2014,Bangalore,3,25,Female,No,3,0,540207
Bachelors,2014,Bangalore,3,28,Male,No,2,0,498734
Bachelors,2017,Bangalore,3,28,Male,No,3,0,541694
Masters,2015,New Delhi,1,27,Male,No,5,0,1351535
Bachelors,2014,Pune,1,26,Female,No,4,1,1359091
Masters,2018,Bangalore,3,25,Male,Yes,3,1,592529
Bachelors,2016,Bangalore,3,28,Female,No,3,0,535676
Bachelors,2018,New Delhi,3,26,Female,Yes,4,1,470144
Bachelors,2015,Pune,2,24,Female,No,2,1,1059795
Bachelors,2017,Bangalore,3,27,Male,Yes,5,0,534757
Bachelors,2014,Bangalore,3,26,Male,No,4,0,604015
Bachelors,2014,Bangalore,3,24,Male,No,2,0,414147
Bachelors,2016,Bangalore,3,28,Male,No,2,0,522664
Bachelors,2015,Pune,2,25,Female,No,3,1,961999
Bachelors,2013,Pune,3,27,Male,No,5,0,695424
Bachelors,2015,Bangalore,3,28,Male,No,3,0,607269
Bachelors,2014,Bangalore,3,26,Male,No,4,0,566952
Bachelors,2012,Bangalore,3,24,Male,No,2,0,675646
Bachelors,2013,Bangalore,3,27,Male,No,5,0,572455
Bachelors,2015,Bangalore,3,26,Female,Yes,4,1,632427
Bachelors,2015,Pune,3,28,Male,No,2,0,513908
Bachelors,2014,New Delhi,2,24,Female,No,2,1,1065747
Bachelors,2013,Bangalore,3,24,Male,No,2,0,475218
Bachelors,2018,Bangalore,3,28,Male,Yes,3,1,489355
Bachelors,2015,Pune,3,27,Male,No,5,0,469890
Bachelors,2014,Pune,2,26,Male,No,4,0,1016730
Bachelors,2016,Bangalore,3,25,Male,No,3,1,458815
PHD,2013,Bangalore,3,25,Male,No,3,0,636727
Bachelors,2014,Bangalore,3,25,Male,No,3,0,696453
Bachelors,2017,New Delhi,2,28,Female,No,1,0,941601
Bachelors,2015,Pune,1,26,Female,No,4,1,1487801
Masters,2017,New Delhi,3,26,Male,Yes,4,1,693274
Bachelors,2014,Bangalore,3,27,Male,No,5,0,473320
Bachelors,2012,New Delhi,3,24,Female,No,2,0,625269
Bachelors,2017,New Delhi,2,24,Male,No,2,0,944413
Bachelors,2015,Bangalore,3,26,Male,No,4,0,525369
Bachelors,2012,Bangalore,3,26,Female,No,4,0,628858
Bachelors,2015,Bangalore,3,24,Male,No,2,0,527641
Masters,2014,Pune,3,25,Male,No,3,0,611990
Bachelors,2015,Bangalore,3,28,Male,No,2,0,512830
Bachelors,2016,Pune,3,24,Male,No,2,0,546295
Bachelors,2016,Bangalore,3,26,Female,No,4,0,532346
Bachelors,2015,Pune,2,25,Female,Yes,3,1,864623
Masters,2013,New Delhi,2,25,Male,No,3,1,1064672
Bachelors,2017,Pune,3,25,Male,No,3,0,649050
Bachelors,2015,Pune,2,26,Female,Yes,4,1,1009968
Masters,2015,Bangalore,2,26,Female,No,4,1,967721
Bachelors,2012,Pune,3,27,Female,No,5,0,450010
Masters,2017,New Delhi,3,28,Male,Yes,2,0,650731
Bachelors,2016,Pune,3,25,Male,No,3,0,642780
Bachelors,2016,Bangalore,3,24,Male,No,2,0,644176
Bachelors,2016,Pune,3,28,Male,No,1,0,536999
Bachelors,2013,New Delhi,3,27,Female,Yes,5,0,610021
Bachelors,2015,New Delhi,3,26,Male,No,4,0,416313
Bachelors,2016,Bangalore,3,27,Male,No,5,0,550696
Bachelors,2017,Pune,2,27,Male,No,5,0,976192
Bachelors,2012,Bangalore,3,27,Male,No,5,0,550266
PHD,2018,New Delhi,3,25,Male,No,3,1,417686
Bachelors,2014,Pune,3,27,Male,No,5,0,672334
Bachelors,2013,Bangalore,3,26,Female,No,4,0,456478
Masters,2017,Pune,2,24,Female,No,2,1,1076946
PHD,2016,New Delhi,2,28,Male,No,3,1,937779
Masters,2014,New Delhi,3,26,Male,No,4,1,653717
Masters,2017,New Delhi,2,27,Male,Yes,5,1,1054820
PHD,2013,New Delhi,3,27,Male,No,5,0,404475
Masters,2014,New Delhi,3,28,Female,No,1,0,683789
Bachelors,2017,Pune,3,27,Male,No,5,0,475998
Bachelors,2015,Pune,3,26,Female,Yes,4,1,540596
Masters,2014,Bangalore,3,26,Male,No,4,1,643322
Masters,2012,Pune,3,27,Male,No,5,0,666308
Bachelors,2017,Bangalore,3,26,Male,No,4,0,554519
Masters,2017,Pune,2,27,Male,No,5,1,1022966
Bachelors,2017,Bangalore,3,27,Male,No,5,0,518290
Bachelors,2016,Bangalore,3,25,Male,No,3,1,464235
Bachelors,2016,Pune,3,27,Male,Yes,5,0,539156
Bachelors,2014,Pune,3,25,Male,No,3,0,534024
Bachelors,2017,Bangalore,3,28,Male,No,1,0,536936
Masters,2012,Pune,3,24,Male,No,2,0,540211
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,622578
Bachelors,2013,Pune,2,25,Male,No,3,1,971896
Bachelors,2012,Pune,3,27,Male,No,5,0,587374
Bachelors,2017,Bangalore,3,26,Male,No,4,0,533554
Bachelors,2013,Pune,3,26,Male,No,4,0,451702
Bachelors,2016,Bangalore,3,24,Male,No,2,0,546588
Bachelors,2014,Bangalore,3,25,Female,No,3,0,576366
Bachelors,2015,New Delhi,3,25,Male,No,3,0,555946
PHD,2012,Pune,3,24,Male,No,2,0,694808
Bachelors,2013,Bangalore,3,27,Male,No,5,0,633024
Bachelors,2015,Bangalore,3,25,Male,No,3,0,479675
Bachelors,2016,Bangalore,3,26,Male,No,4,0,676953
Masters,2015,New Delhi,3,24,Female,No,2,0,429401
